X;Y;ID;NOMBRE;SECTOR;ORIGEN;JURISDIC;GRADO_AVAN;FECHA_INIC;CALLE;ALTURA;PISO_DPTO;BARRIO;COMUNA;DOM_NORMA;DOM_GEO
-58.4091021098848;-34.6467832669482;1;STAR X;HARDWARE;NAC.;CABA;EN OPERACION;ENE-12;PEPIRI;758;;PARQUE PATRICIOS;COMUNA 4;PEPIRI 758;758 PEPIRI
-58.3959038392808;-34.6425712671735;2;IRON MOUNTAIN;BPO;EXT.;CABA;EN OPERACION;PREVIO LEY 2972;AMANCIO ALCORTA;2482;;PARQUE PATRICIOS;COMUNA 4;ALCORTA, AMANCIO AV. 2482;2482 ALCORTA, AMANCIO AV.
-58.3904550167836;-34.6367633112771;3;TATA;BPO;EXT.;OTRA;EN OPERACION;SEP-09;USPALLATA;2034;;PARQUE PATRICIOS;COMUNA 4;USPALLATA 2034;2034 USPALLATA
-58.4047186582808;-34.6346616191639;4;IBC ARGENTINA;SOFTWARE;NAC.;CABA;EN OPERACION;NOV-09;CATULO CASTILLO;2930;PB 5;PARQUE PATRICIOS;COMUNA 4;CASTILLO, CATULO 2930;2930 CASTILLO, CATULO
-58.4095875328407;-34.6356970770676;5;CZYNE;SOFTWARE;NAC.;CABA;EN OPERACION;NOV-09;CATULO CASTILLO;3230;PISO 2 OF 22;PARQUE PATRICIOS;COMUNA 4;CASTILLO, CATULO 3230;3230 CASTILLO, CATULO
-58.4099586920851;-34.6354036876751;6;DATCO;SOFTWARE;NAC.;CABA;EN OPERACION;PREVIO LEY 2972;CATULO CASTILLO;3251;;PARQUE PATRICIOS;COMUNA 4;CASTILLO, CATULO 3251;3251 CASTILLO, CATULO
-58.406088638066;-34.634891907605;7;AVANZIT;SOFTWARE;NAC.;CABA;EN OPERACION;DIC-10;LA RIOJA;2011;;PARQUE PATRICIOS;COMUNA 4;LA RIOJA 2011;2011 LA RIOJA
-58.4127807879125;-34.6356669909102;8;EXO;HARDWARE;NAC.;CABA;EN OPERACION;FEB-13;CHICLANA;3436;;BOEDO;COMUNA 5;CHICLANA AV. 3436;3436 CHICLANA AV.
-58.4000684716131;-34.6333811856509;9;ENTORNOS EDUCATIVOS;SOFTWARE;NAC.;CABA;EN OPERACION;PREVIO LEY 2972;JUJUY;1963;PISO 9 D;PARQUE PATRICIOS;COMUNA 4;JUJUY AV. 1963;1963 JUJUY AV.
-58.4031308121997;-34.633454329061;10;GRUPO GC;SOFTWARE;NAC.;CABA;EN OPERACION;OCT-09;ESTEBAN DE LUCA;1981;;PARQUE PATRICIOS;COMUNA 4;LUCA, ESTEBAN DE 1981;1981 LUCA, ESTEBAN DE
-58.4078972679349;-34.6433392568611;11;DINATECH;BPO;NAC.;CABA;EN OPERACION;DIC-14;EL REFRAN;3246;;PARQUE PATRICIOS;COMUNA 4;EL REFRAN 3246;3246 EL REFRAN
-58.4117666653551;-34.634543849899;12;HIT 1;DATA CENTER;NAC.;STARTUP;EN OPERACION;SEP-14;CHICLANA;3345;;BOEDO;COMUNA 5;CHICLANA AV. 3345;3345 CHICLANA AV.
-58.3996876067464;-34.6331853026363;13;SERSAT;BPO;NAC.;CABA;EN OPERACION;PREVIO LEY 2972;JUJUY;1956;;PARQUE PATRICIOS;COMUNA 4;JUJUY AV. 1956;1956 JUJUY AV.
-58.413148996487;-34.6394558722914;14;BANK;BPO;NAC.;CABA;EN OPERACION;JUN-11;DIOGENES TABORDA;73;;NUEVA POMPEYA;COMUNA 4;TABORDA, DIOGENES 73;73 TABORDA, DIOGENES
-58.4019380607805;-34.6382282316429;15;QUANTUM TECNOLOGIA;SOFTWARE;NAC.;CABA;EN OPERACION;PREVIO LEY 2972;LAVARDEN;145;;PARQUE PATRICIOS;COMUNA 4;LAVARDEN 145;145 LAVARDEN
-58.4023171825653;-34.6375530622576;16;MEGATECH;HARDWARE;NAC.;CABA;EN OPERACION;NOV-12;PATAGONES;2827;PISO 3 Y 4;PARQUE PATRICIOS;COMUNA 4;PATAGONES 2827;2827 PATAGONES
-58.406088638066;-34.634891907605;17;SENSEBYTE;SOFTWARE;NAC.;CABA;EN OPERACION;JUN-10;LA RIOJA;2011;;PARQUE PATRICIOS;COMUNA 4;LA RIOJA 2011;2011 LA RIOJA
-58.4072590206336;-34.6420447227339;18;MSA;SOFTWARE;NAC.;CABA;EN OPERACION;DIC-13;ATUEL;362;;PARQUE PATRICIOS;COMUNA 4;ATUEL 362;362 ATUEL
-58.398316315523;-34.6396330560936;19;E-NFO;SOFTWARE;NAC.;CABA;EN OPERACION;AGO-12;LOS PATOS;2650;;PARQUE PATRICIOS;COMUNA 4;LOS PATOS 2650;2650 LOS PATOS
-58.4002665825469;-34.6328895221836;20;CONSULTORES TRAVERSO;BPO;NAC.;CABA;EN OPERACION;JUL-12;JUJUY;1915;PISO 5 B;PARQUE PATRICIOS;COMUNA 4;JUJUY AV. 1915;1915 JUJUY AV.
